Run	AvgSpotLen	Bases	Organism	geo_loc_name_country	BioProject	Collection_date	Month	Library.Name	Location	collected_by
SRR17041372	266	23376650	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-10	11	K030841	Gauteng	National Health Laboratory Service
SRR17041373	279	61894161	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-09	11	K030840	Gauteng	National Health Laboratory Service
SRR17041374	266	49927232	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-11	11	K030839	Gauteng	National Health Laboratory Service
SRR17041375	267	83079781	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-11	11	K030838	Gauteng	National Health Laboratory Service
SRR17041377	277	89147655	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-12	11	K030836	Gauteng	National Health Laboratory Service
SRR17014883	297	20612770	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-07	11	K027855	KwaZulu-Natal	National Health Laboratory Service
SRR17014914	315	87084903	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-08	11	K027852	KwaZulu-Natal	National Health Laboratory Service
SRR17014925	287	25966297	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-07	11	K027851	KwaZulu-Natal	National Health Laboratory Service
SRR17014926	277	16635415	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-28	10	K027895	KwaZulu-Natal	National Health Laboratory Service
SRR17014927	254	21522342	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-28	10	K027894	KwaZulu-Natal	National Health Laboratory Service
SRR17014928	253	16349015	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-30	10	K027893	KwaZulu-Natal	National Health Laboratory Service
SRR17014932	270	21607514	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-28	10	K027889	KwaZulu-Natal	National Health Laboratory Service
SRR17014935	321	92075993	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-28	10	K027886	KwaZulu-Natal	National Health Laboratory Service
SRR17014936	308	23386255	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-07	11	K027850	KwaZulu-Natal	National Health Laboratory Service
SRR17014937	250	18665018	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-31	10	K027885	KwaZulu-Natal	National Health Laboratory Service
SRR17014938	291	37194623	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-30	10	K027884	KwaZulu-Natal	National Health Laboratory Service
SRR17014940	255	21984211	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-28	10	K027882	KwaZulu-Natal	National Health Laboratory Service
SRR17014941	317	47594615	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-28	10	K027881	KwaZulu-Natal	National Health Laboratory Service
SRR17014942	316	77509424	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-28	10	K027880	KwaZulu-Natal	National Health Laboratory Service
SRR17014945	320	49640478	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-29	10	K027877	KwaZulu-Natal	National Health Laboratory Service
SRR17014946	278	26080126	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-05	11	K027876	KwaZulu-Natal	National Health Laboratory Service
SRR17014947	329	25404003	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-09	11	K027849	KwaZulu-Natal	National Health Laboratory Service
SRR17014951	268	18081840	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-06	11	K027872	KwaZulu-Natal	National Health Laboratory Service
SRR17014954	258	19218323	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-07	11	K027869	KwaZulu-Natal	National Health Laboratory Service
SRR17014957	297	17800698	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-05	11	K027866	KwaZulu-Natal	National Health Laboratory Service
SRR17014959	319	51300178	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-06	11	K027865	KwaZulu-Natal	National Health Laboratory Service
SRR17014963	293	36045382	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-07	11	K027861	KwaZulu-Natal	National Health Laboratory Service
SRR17014969	310	22324162	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-08	11	K027847	KwaZulu-Natal	National Health Laboratory Service
SRR17088900	326	231299941	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-19	11	K032259	KwaZulu-Natal	National Health Laboratory Service
SRR17088901	326	196076725	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032292	KwaZulu-Natal	National Health Laboratory Service
SRR17088903	326	59592345	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032290	KwaZulu-Natal	National Health Laboratory Service
SRR17088906	324	46741194	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032287	KwaZulu-Natal	National Health Laboratory Service
SRR17088908	312	49033049	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032285	KwaZulu-Natal	National Health Laboratory Service
SRR17088910	327	145859044	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-23	11	K032284	KwaZulu-Natal	National Health Laboratory Service
SRR17088912	324	241171688	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-11-18	11	K032282	KwaZulu-Natal	National Health Laboratory Service
SRR17090366	311	27083960	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-21	10	K027445	Gauteng	National Health Laboratory Service
SRR17090367	325	25314680	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-22	10	K027444	Gauteng	National Health Laboratory Service
SRR17090370	326	37310427	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-22	10	K027441	Gauteng	National Health Laboratory Service
SRR17090372	322	72655072	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-25	10	K027439	KwaZulu-Natal	National Health Laboratory Service
SRR17090373	316	78192393	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-22	10	K027438	KwaZulu-Natal	National Health Laboratory Service
SRR17090378	324	125048312	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-21	10	K027451	Gauteng	National Health Laboratory Service
SRR17090383	312	29836158	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-18	10	K027446	Gauteng	National Health Laboratory Service
SRR17090385	325	67196472	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-20	10	K027436	KwaZulu-Natal	National Health Laboratory Service
SRR17006638	429	82287181	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-04	10	K026569	KwaZulu-Natal	National Health Laboratory service
SRR17006640	427	28892834	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-30	09	K026559	KwaZulu-Natal	National Health Laboratory service
SRR17006643	431	86868338	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-04	10	K026565	KwaZulu-Natal	National Health Laboratory service
SRR17006646	460	97406682	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-07	10	K026616	KwaZulu-Natal	National Health Laboratory service
SRR17006647	424	94000574	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-06	10	K026615	KwaZulu-Natal	National Health Laboratory service
SRR17006648	424	99664845	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-05	10	K026614	KwaZulu-Natal	National Health Laboratory service
SRR17006649	430	78672685	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-04	10	K026613	KwaZulu-Natal	National Health Laboratory service
SRR17006652	440	110175075	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-11	10	K026610	KwaZulu-Natal	National Health Laboratory service
SRR17006655	446	51759793	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-10	10	K026608	KwaZulu-Natal	National Health Laboratory service
SRR17006658	427	62425785	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-08	10	K026605	KwaZulu-Natal	National Health Laboratory service
SRR17006660	430	106702851	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-06	10	K026603	KwaZulu-Natal	National Health Laboratory service
SRR17006664	419	42128764	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-05	10	K026599	KwaZulu-Natal	National Health Laboratory service
SRR17006665	432	432709	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-10-05	10	K026582	KwaZulu-Natal	National Health Laboratory service
SRR17006667	429	55817195	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-28	09	K026787	Gauteng	National Health Laboratory service
SRR17006668	433	92035554	Severe acute respiratory syndrome coronavirus 2	South Africa	PRJNA636748	2021-09-28	09	K026786	Gauteng	National Health Laboratory service
